
30 04 2024 20 40 17
,First Failure Found,Amount of Failures Found,
Random Test Results,null,0,
Search Based Results,2,2,
STFCS Results,null,0,
Runtime: 2538
30 04 2024 20 40 20
,First Failure Found,Amount of Failures Found,
Random Test Results,null,0,
Search Based Results,7,2,
STFCS Results,null,0,
Runtime: 2443
30 04 2024 20 40 24
,First Failure Found,Amount of Failures Found,
Random Test Results,10,1,
Search Based Results,null,0,
STFCS Results,null,0,
Runtime: 2375
30 04 2024 20 40 28
,First Failure Found,Amount of Failures Found,
Random Test Results,4,2,
Search Based Results,1,1,
STFCS Results,null,0,
Runtime: 2591
30 04 2024 20 40 31
,First Failure Found,Amount of Failures Found,
Random Test Results,4,1,
Search Based Results,null,0,
STFCS Results,3,1,
Runtime: 2354
30 04 2024 20 40 35
,First Failure Found,Amount of Failures Found,
Random Test Results,null,0,
Search Based Results,null,0,
STFCS Results,5,1,
Runtime: 2379
30 04 2024 20 40 52
,First Failure Found,Amount of Failures Found,
Random Test Results,null,0,
Search Based Results,9,1,
STFCS Results,null,0,
Runtime: 2343
30 04 2024 20 40 56
,First Failure Found,Amount of Failures Found,
Random Test Results,8,1,
Search Based Results,3,2,
STFCS Results,3,1,
Runtime: 2480
30 04 2024 20 41 00
,First Failure Found,Amount of Failures Found,
Random Test Results,null,0,
Search Based Results,5,2,
STFCS Results,null,0,
Runtime: 2538
30 04 2024 20 41 04
,First Failure Found,Amount of Failures Found,
Random Test Results,4,2,
Search Based Results,10,1,
STFCS Results,null,0,
Runtime: 2461
30 04 2024 20 41 07
,First Failure Found,Amount of Failures Found,
Random Test Results,5,1,
Search Based Results,null,0,
STFCS Results,null,0,
Runtime: 2416
30 04 2024 20 42 12
,First Failure Found,Amount of Failures Found,
Random Test Results,null,0,
Search Based Results,10,1,
STFCS Results,8,1,
Runtime: 2466
30 04 2024 20 42 17
,First Failure Found,Amount of Failures Found,
Random Test Results,null,0,
Search Based Results,3,2,
STFCS Results,null,0,
Runtime: 2411
30 04 2024 20 42 20
,First Failure Found,Amount of Failures Found,
Random Test Results,null,0,
Search Based Results,null,0,
STFCS Results,null,0,
Runtime: 2400
30 04 2024 20 42 23
,First Failure Found,Amount of Failures Found,
Random Test Results,null,0,
Search Based Results,2,2,
STFCS Results,null,0,
Runtime: 2765
30 04 2024 20 42 27
,First Failure Found,Amount of Failures Found,
Random Test Results,null,0,
Search Based Results,2,2,
STFCS Results,null,0,
Runtime: 2516
30 04 2024 20 42 30
,First Failure Found,Amount of Failures Found,
Random Test Results,3,1,
Search Based Results,null,0,
STFCS Results,3,1,
Runtime: 2527
30 04 2024 20 42 34
,First Failure Found,Amount of Failures Found,
Random Test Results,1,1,
Search Based Results,null,0,
STFCS Results,null,0,
Runtime: 2669
30 04 2024 20 42 37
,First Failure Found,Amount of Failures Found,
Random Test Results,null,0,
Search Based Results,null,0,
STFCS Results,null,0,
Runtime: 2440
30 04 2024 20 42 40
,First Failure Found,Amount of Failures Found,
Random Test Results,null,0,
Search Based Results,3,1,
STFCS Results,4,2,
Runtime: 2556
30 04 2024 20 42 43
,First Failure Found,Amount of Failures Found,
Random Test Results,null,0,
Search Based Results,null,0,
STFCS Results,6,1,
Runtime: 2546
30 04 2024 20 42 47
,First Failure Found,Amount of Failures Found,
Random Test Results,null,0,
Search Based Results,2,1,
STFCS Results,null,0,
Runtime: 2446
30 04 2024 20 42 50
,First Failure Found,Amount of Failures Found,
Random Test Results,6,1,
Search Based Results,7,1,
STFCS Results,null,0,
Runtime: 2482
30 04 2024 20 42 54
,First Failure Found,Amount of Failures Found,
Random Test Results,6,1,
Search Based Results,null,0,
STFCS Results,null,0,
Runtime: 2778
30 04 2024 20 42 57
,First Failure Found,Amount of Failures Found,
Random Test Results,9,1,
Search Based Results,3,1,
STFCS Results,null,0,
Runtime: 2443
30 04 2024 20 43 00
,First Failure Found,Amount of Failures Found,
Random Test Results,8,2,
Search Based Results,5,2,
STFCS Results,7,1,
Runtime: 2408
30 04 2024 20 43 04
,First Failure Found,Amount of Failures Found,
Random Test Results,null,0,
Search Based Results,null,0,
STFCS Results,null,0,
Runtime: 2511
30 04 2024 20 43 07
,First Failure Found,Amount of Failures Found,
Random Test Results,null,0,
Search Based Results,null,0,
STFCS Results,null,0,
Runtime: 2400
30 04 2024 20 43 11
,First Failure Found,Amount of Failures Found,
Random Test Results,null,0,
Search Based Results,8,1,
STFCS Results,null,0,
Runtime: 2699
30 04 2024 20 43 15
,First Failure Found,Amount of Failures Found,
Random Test Results,9,1,
Search Based Results,null,0,
STFCS Results,6,1,
Runtime: 2508
