
30 04 2024 19 09 31
,First Failure Found,Amount of Failures Found,
Random Test Results,9,1,
Search Based Results,5,1,
STFCS Results,5,1,
Runtime: 2326
30 04 2024 19 09 34
,First Failure Found,Amount of Failures Found,
Random Test Results,6,2,
Search Based Results,6,1,
STFCS Results,null,0,
Runtime: 2435
30 04 2024 19 09 37
,First Failure Found,Amount of Failures Found,
Random Test Results,9,2,
Search Based Results,5,1,
STFCS Results,9,1,
Runtime: 2291
30 04 2024 19 09 40
,First Failure Found,Amount of Failures Found,
Random Test Results,3,1,
Search Based Results,null,0,
STFCS Results,5,2,
Runtime: 2309
30 04 2024 19 09 43
,First Failure Found,Amount of Failures Found,
Random Test Results,5,2,
Search Based Results,6,1,
STFCS Results,6,2,
Runtime: 2326
30 04 2024 19 09 46
,First Failure Found,Amount of Failures Found,
Random Test Results,4,3,
Search Based Results,null,0,
STFCS Results,2,1,
Runtime: 2214
30 04 2024 19 09 49
,First Failure Found,Amount of Failures Found,
Random Test Results,3,2,
Search Based Results,4,1,
STFCS Results,6,1,
Runtime: 2268
30 04 2024 19 09 52
,First Failure Found,Amount of Failures Found,
Random Test Results,9,1,
Search Based Results,1,3,
STFCS Results,1,1,
Runtime: 2334
30 04 2024 19 09 55
,First Failure Found,Amount of Failures Found,
Random Test Results,4,1,
Search Based Results,8,1,
STFCS Results,null,0,
Runtime: 2262
30 04 2024 19 09 58
,First Failure Found,Amount of Failures Found,
Random Test Results,7,1,
Search Based Results,4,2,
STFCS Results,null,0,
Runtime: 2336
30 04 2024 19 10 01
,First Failure Found,Amount of Failures Found,
Random Test Results,3,1,
Search Based Results,10,1,
STFCS Results,6,1,
Runtime: 2365
30 04 2024 19 10 04
,First Failure Found,Amount of Failures Found,
Random Test Results,null,0,
Search Based Results,10,1,
STFCS Results,null,0,
Runtime: 2247
30 04 2024 19 10 08
,First Failure Found,Amount of Failures Found,
Random Test Results,6,1,
Search Based Results,null,0,
STFCS Results,8,1,
Runtime: 2294
30 04 2024 19 10 11
,First Failure Found,Amount of Failures Found,
Random Test Results,null,0,
Search Based Results,4,2,
STFCS Results,2,3,
Runtime: 2330
30 04 2024 19 10 14
,First Failure Found,Amount of Failures Found,
Random Test Results,3,2,
Search Based Results,2,2,
STFCS Results,2,3,
Runtime: 2229
30 04 2024 19 10 17
,First Failure Found,Amount of Failures Found,
Random Test Results,null,0,
Search Based Results,4,1,
STFCS Results,2,1,
Runtime: 2278
30 04 2024 19 10 20
,First Failure Found,Amount of Failures Found,
Random Test Results,null,0,
Search Based Results,null,0,
STFCS Results,2,2,
Runtime: 2451
30 04 2024 19 10 23
,First Failure Found,Amount of Failures Found,
Random Test Results,3,2,
Search Based Results,5,1,
STFCS Results,null,0,
Runtime: 2506
30 04 2024 19 10 27
,First Failure Found,Amount of Failures Found,
Random Test Results,null,0,
Search Based Results,1,1,
STFCS Results,6,1,
Runtime: 2428
30 04 2024 19 10 30
,First Failure Found,Amount of Failures Found,
Random Test Results,6,1,
Search Based Results,4,3,
STFCS Results,8,1,
Runtime: 2315
30 04 2024 19 10 33
,First Failure Found,Amount of Failures Found,
Random Test Results,null,0,
Search Based Results,3,1,
STFCS Results,null,0,
Runtime: 2291
30 04 2024 19 10 36
,First Failure Found,Amount of Failures Found,
Random Test Results,null,0,
Search Based Results,3,3,
STFCS Results,6,1,
Runtime: 2283
30 04 2024 19 10 40
,First Failure Found,Amount of Failures Found,
Random Test Results,3,1,
Search Based Results,null,0,
STFCS Results,9,1,
Runtime: 2427
30 04 2024 19 10 43
,First Failure Found,Amount of Failures Found,
Random Test Results,3,2,
Search Based Results,2,1,
STFCS Results,2,1,
Runtime: 2266
30 04 2024 19 10 46
,First Failure Found,Amount of Failures Found,
Random Test Results,8,1,
Search Based Results,null,0,
STFCS Results,null,0,
Runtime: 2345
30 04 2024 19 10 49
,First Failure Found,Amount of Failures Found,
Random Test Results,1,2,
Search Based Results,2,1,
STFCS Results,1,3,
Runtime: 2268
30 04 2024 19 10 52
,First Failure Found,Amount of Failures Found,
Random Test Results,null,0,
Search Based Results,7,1,
STFCS Results,3,1,
Runtime: 2240
30 04 2024 19 10 55
,First Failure Found,Amount of Failures Found,
Random Test Results,null,0,
Search Based Results,null,0,
STFCS Results,2,2,
Runtime: 2377
30 04 2024 19 10 58
,First Failure Found,Amount of Failures Found,
Random Test Results,null,0,
Search Based Results,null,0,
STFCS Results,null,0,
Runtime: 2317
30 04 2024 19 11 02
,First Failure Found,Amount of Failures Found,
Random Test Results,null,0,
Search Based Results,null,0,
STFCS Results,2,1,
Runtime: 2359
