
30 04 2024 19 22 17
,First Failure Found,Amount of Failures Found,
Random Test Results,null,0,
Search Based Results,8,1,
STFCS Results,null,0,
Runtime: 2607
30 04 2024 19 22 20
,First Failure Found,Amount of Failures Found,
Random Test Results,7,1,
Search Based Results,null,0,
STFCS Results,null,0,
Runtime: 2418
30 04 2024 19 22 24
,First Failure Found,Amount of Failures Found,
Random Test Results,null,0,
Search Based Results,null,0,
STFCS Results,null,0,
Runtime: 2633
30 04 2024 19 22 27
,First Failure Found,Amount of Failures Found,
Random Test Results,null,0,
Search Based Results,null,0,
STFCS Results,1,1,
Runtime: 2601
30 04 2024 19 22 31
,First Failure Found,Amount of Failures Found,
Random Test Results,6,1,
Search Based Results,null,0,
STFCS Results,null,0,
Runtime: 2737
30 04 2024 19 22 34
,First Failure Found,Amount of Failures Found,
Random Test Results,8,1,
Search Based Results,null,0,
STFCS Results,4,1,
Runtime: 2485
30 04 2024 19 22 37
,First Failure Found,Amount of Failures Found,
Random Test Results,null,0,
Search Based Results,4,1,
STFCS Results,null,0,
Runtime: 2490
30 04 2024 19 22 41
,First Failure Found,Amount of Failures Found,
Random Test Results,5,1,
Search Based Results,9,1,
STFCS Results,null,0,
Runtime: 2439
30 04 2024 19 22 44
,First Failure Found,Amount of Failures Found,
Random Test Results,null,0,
Search Based Results,10,1,
STFCS Results,null,0,
Runtime: 2397
30 04 2024 19 22 47
,First Failure Found,Amount of Failures Found,
Random Test Results,null,0,
Search Based Results,6,1,
STFCS Results,null,0,
Runtime: 2700
30 04 2024 19 23 29
,First Failure Found,Amount of Failures Found,
Random Test Results,null,0,
Search Based Results,null,0,
STFCS Results,5,1,
Runtime: 2506
30 04 2024 19 23 32
,First Failure Found,Amount of Failures Found,
Random Test Results,null,0,
Search Based Results,7,1,
STFCS Results,null,0,
Runtime: 2474
30 04 2024 19 23 35
,First Failure Found,Amount of Failures Found,
Random Test Results,8,1,
Search Based Results,null,0,
STFCS Results,null,0,
Runtime: 2525
30 04 2024 19 23 39
,First Failure Found,Amount of Failures Found,
Random Test Results,9,1,
Search Based Results,null,0,
STFCS Results,3,1,
Runtime: 2485
30 04 2024 19 23 42
,First Failure Found,Amount of Failures Found,
Random Test Results,null,0,
Search Based Results,null,0,
STFCS Results,null,0,
Runtime: 2519
30 04 2024 19 23 45
,First Failure Found,Amount of Failures Found,
Random Test Results,null,0,
Search Based Results,null,0,
STFCS Results,4,1,
Runtime: 2606
30 04 2024 19 23 49
,First Failure Found,Amount of Failures Found,
Random Test Results,3,2,
Search Based Results,null,0,
STFCS Results,null,0,
Runtime: 2491
30 04 2024 19 23 52
,First Failure Found,Amount of Failures Found,
Random Test Results,null,0,
Search Based Results,null,0,
STFCS Results,null,0,
Runtime: 2510
30 04 2024 19 23 55
,First Failure Found,Amount of Failures Found,
Random Test Results,10,1,
Search Based Results,7,1,
STFCS Results,9,1,
Runtime: 2441
30 04 2024 19 23 58
,First Failure Found,Amount of Failures Found,
Random Test Results,null,0,
Search Based Results,null,0,
STFCS Results,null,0,
Runtime: 2513
30 04 2024 19 24 02
,First Failure Found,Amount of Failures Found,
Random Test Results,6,1,
Search Based Results,1,1,
STFCS Results,null,0,
Runtime: 2583
30 04 2024 19 24 06
,First Failure Found,Amount of Failures Found,
Random Test Results,null,0,
Search Based Results,10,1,
STFCS Results,null,0,
Runtime: 2549
30 04 2024 19 24 09
,First Failure Found,Amount of Failures Found,
Random Test Results,null,0,
Search Based Results,null,0,
STFCS Results,null,0,
Runtime: 2662
30 04 2024 19 24 13
,First Failure Found,Amount of Failures Found,
Random Test Results,7,1,
Search Based Results,null,0,
STFCS Results,null,0,
Runtime: 2466
30 04 2024 19 24 16
,First Failure Found,Amount of Failures Found,
Random Test Results,null,0,
Search Based Results,null,0,
STFCS Results,null,0,
Runtime: 2562
30 04 2024 19 24 20
,First Failure Found,Amount of Failures Found,
Random Test Results,null,0,
Search Based Results,null,0,
STFCS Results,2,1,
Runtime: 2662
30 04 2024 19 24 23
,First Failure Found,Amount of Failures Found,
Random Test Results,null,0,
Search Based Results,null,0,
STFCS Results,4,1,
Runtime: 2558
30 04 2024 19 24 26
,First Failure Found,Amount of Failures Found,
Random Test Results,null,0,
Search Based Results,5,1,
STFCS Results,null,0,
Runtime: 2586
30 04 2024 19 24 30
,First Failure Found,Amount of Failures Found,
Random Test Results,null,0,
Search Based Results,null,0,
STFCS Results,2,1,
Runtime: 2610
30 04 2024 19 24 33
,First Failure Found,Amount of Failures Found,
Random Test Results,null,0,
Search Based Results,null,0,
STFCS Results,null,0,
Runtime: 2518
